date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:32:12	196/196	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2026%20Jan%202021%2011:02:12%20GMT	https://pzee5.herokuapp.com/robots.txt		(from )
16:32:12	4183/4183	---MC-	200	added ('OK')	text/html	date:Tue,%2026%20Jan%202021%2011:02:12%20GMT	https://pzee5.herokuapp.com/	C:/Users/Prajwal%20Stark/Desktop/myweb/pzee5/pzee5.herokuapp.com/index.html	(from )
16:32:13	6309/6309	---M--	200	added ('OK')	text/css	etag:%2218a5-5b87804ff9bc0%22	https://pzee5.herokuapp.com/style.css	C:/Users/Prajwal%20Stark/Desktop/myweb/pzee5/pzee5.herokuapp.com/style.css	(from https://pzee5.herokuapp.com/)
16:32:13	89476/89476	---M--	200	added ('OK')	text/javascript	date:Fri,%2008%20May%202020%2007:05:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	C:/Users/Prajwal%20Stark/Desktop/myweb/pzee5/ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	(from https://pzee5.herokuapp.com/)
16:32:14	5212/5212	---M--	200	added ('OK')	image/png	etag:%22145c-5b87804ff9bc0%22	https://pzee5.herokuapp.com/favicon/apple-icon-57x57.png	C:/Users/Prajwal%20Stark/Desktop/myweb/pzee5/pzee5.herokuapp.com/favicon/apple-icon-57x57.png	(from https://pzee5.herokuapp.com/)
16:32:14	5541/5541	---M--	200	added ('OK')	image/png	etag:%2215a5-5b87804ff9bc0%22	https://pzee5.herokuapp.com/favicon/apple-icon-60x60.png	C:/Users/Prajwal%20Stark/Desktop/myweb/pzee5/pzee5.herokuapp.com/favicon/apple-icon-60x60.png	(from https://pzee5.herokuapp.com/)
16:32:15	6827/6827	---M--	200	added ('OK')	image/png	etag:%221aab-5b87804ff9bc0%22	https://pzee5.herokuapp.com/favicon/apple-icon-72x72.png	C:/Users/Prajwal%20Stark/Desktop/myweb/pzee5/pzee5.herokuapp.com/favicon/apple-icon-72x72.png	(from https://pzee5.herokuapp.com/)
16:32:15	7250/7250	---M--	200	added ('OK')	image/png	etag:%221c52-5b87804ff9bc0%22	https://pzee5.herokuapp.com/favicon/apple-icon-76x76.png	C:/Users/Prajwal%20Stark/Desktop/myweb/pzee5/pzee5.herokuapp.com/favicon/apple-icon-76x76.png	(from https://pzee5.herokuapp.com/)
16:32:15	11933/11933	---M--	200	added ('OK')	image/png	etag:%222e9d-5b87804ff9bc0%22	https://pzee5.herokuapp.com/favicon/apple-icon-114x114.png	C:/Users/Prajwal%20Stark/Desktop/myweb/pzee5/pzee5.herokuapp.com/favicon/apple-icon-114x114.png	(from https://pzee5.herokuapp.com/)
16:32:16	12818/12818	---M--	200	added ('OK')	image/png	etag:%223212-5b87804ff9bc0%22	https://pzee5.herokuapp.com/favicon/apple-icon-120x120.png	C:/Users/Prajwal%20Stark/Desktop/myweb/pzee5/pzee5.herokuapp.com/favicon/apple-icon-120x120.png	(from https://pzee5.herokuapp.com/)
16:32:16	16934/16934	---M--	200	added ('OK')	image/png	etag:%224226-5b87804ff9bc0%22	https://pzee5.herokuapp.com/favicon/apple-icon-144x144.png	C:/Users/Prajwal%20Stark/Desktop/myweb/pzee5/pzee5.herokuapp.com/favicon/apple-icon-144x144.png	(from https://pzee5.herokuapp.com/)
16:32:17	18372/18372	---M--	200	added ('OK')	image/png	etag:%2247c4-5b87804ff9bc0%22	https://pzee5.herokuapp.com/favicon/apple-icon-152x152.png	C:/Users/Prajwal%20Stark/Desktop/myweb/pzee5/pzee5.herokuapp.com/favicon/apple-icon-152x152.png	(from https://pzee5.herokuapp.com/)
16:32:17	23887/23887	---M--	200	added ('OK')	image/png	etag:%225d4f-5b87804ff9bc0%22	https://pzee5.herokuapp.com/favicon/apple-icon-180x180.png	C:/Users/Prajwal%20Stark/Desktop/myweb/pzee5/pzee5.herokuapp.com/favicon/apple-icon-180x180.png	(from https://pzee5.herokuapp.com/)
16:32:17	24626/24626	---M--	200	added ('OK')	image/png	etag:%226032-5b87804ff9bc0%22	https://pzee5.herokuapp.com/favicon/android-icon-192x192.png	C:/Users/Prajwal%20Stark/Desktop/myweb/pzee5/pzee5.herokuapp.com/favicon/android-icon-192x192.png	(from https://pzee5.herokuapp.com/)
